"Handle","Title","Body (HTML)","Vendor","Product Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Inventory Qty","Variant Price","Variant Compare At Price","Image Src"
"rel001","Reloj analógico/digital con brazalete de acero, acero rosado y esfera de nácar Epic Icon Mesh","<p>Reloj analógico/digital TOUS Epic Icon Mesh con brazalete de acero inoxidable y caja de acero rosado. Diámetro: 30 mm. Esfera de nácar. Cristal mineral redondo plano. Funciones: hora y minutos. Impermeable a 5 ATM. Movimiento analógico/digital de cuarzo japonés. Brazalete: 42,5mm x 14mm x 12mm. Cierre ajustable con cierre de seguridad.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000143900","1","179","199","https://cloud-media.tous.com/medias/sys_master/images/hd7/h94/14488086413342/1200Wx1200H_product_3000143900-20250603110133/1200Wx1200H-product-3000143900-20250603110133.jpg"
"rel001","Reloj analógico/digital con brazalete de acero, acero rosado y esfera de nácar Epic Icon Mesh","<p>Reloj analógico/digital TOUS Epic Icon Mesh con brazalete de acero inoxidable y caja de acero rosado. Diámetro: 30 mm. Esfera de nácar. Cristal mineral redondo plano. Funciones: hora y minutos. Impermeable a 5 ATM. Movimiento analógico/digital de cuarzo japonés. Brazalete: 42,5mm x 14mm x 12mm. Cierre ajustable con cierre de seguridad.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000143900","1","179","199","https://cloud-media.tous.com/medias/sys_master/images/hf6/haa/14448953360414/1200Wx1200H_product_3000143900_2-20250520180215/1200Wx1200H-product-3000143900-2-20250520180215.jpg"
"rel002","Reloj analógico con brazalete de acero y acero dorado D-Bear Party","<p>Reloj analógico TOUS D-Bear Party con brazalete de acero inoxidable, acero dorado y caja transparente. Dimensiones: 36 mm x 48 mm. Esfera de metal con oso facetado acrílico asemejando una gema. Cristal mineral plano octogonal. Funciones: hora y minutos. Impermeable a 3 ATM. Movimiento analógico de cuarzo japonés. Brazalete: 23mm x 18mm x 74mm / 23mm x 18mm x 105mm. Cierre malla milanesa con cierre de seguridad.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000143500","1","152","169","https://cloud-media.tous.com/medias/sys_master/images/h0b/h8e/14488269717534/1200Wx1200H_product_3000143500-20250603120150/1200Wx1200H-product-3000143500-20250603120150.jpg"
"rel002","Reloj analógico con brazalete de acero y acero dorado D-Bear Party","<p>Reloj analógico TOUS D-Bear Party con brazalete de acero inoxidable, acero dorado y caja transparente. Dimensiones: 36 mm x 48 mm. Esfera de metal con oso facetado acrílico asemejando una gema. Cristal mineral plano octogonal. Funciones: hora y minutos. Impermeable a 3 ATM. Movimiento analógico de cuarzo japonés. Brazalete: 23mm x 18mm x 74mm / 23mm x 18mm x 105mm. Cierre malla milanesa con cierre de seguridad.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000143500","1","152","169","https://cloud-media.tous.com/medias/sys_master/images/h2f/h28/14448943267870/1200Wx1200H_product_3000143500_2-20250520180214/1200Wx1200H-product-3000143500-2-20250520180214.jpg"
"rel003","Reloj analógico con brazalete de acero y acero rosado D-Bear Party","<p>Reloj analógico TOUS D-Bear Party con brazalete de acero inoxidable, acero rosado y caja transparente. Dimensiones: 36 mm x 48 mm. Esfera de metal con oso facetado acrílico asemejando una gema. Cristal mineral plano octogonal. Funciones: hora y minutos. Impermeable a 3 ATM. Movimiento analógico de cuarzo japonés. Brazalete: 23mm x 18mm x 74mm / 23mm x 18mm x 105mm. Cierre malla milanesa con cierre de seguridad.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000143600","1","152","169","https://cloud-media.tous.com/medias/sys_master/images/h96/h5d/14488270635038/1200Wx1200H_product_3000143600-20250603120150/1200Wx1200H-product-3000143600-20250603120150.jpg"
"rel003","Reloj analógico con brazalete de acero y acero rosado D-Bear Party","<p>Reloj analógico TOUS D-Bear Party con brazalete de acero inoxidable, acero rosado y caja transparente. Dimensiones: 36 mm x 48 mm. Esfera de metal con oso facetado acrílico asemejando una gema. Cristal mineral plano octogonal. Funciones: hora y minutos. Impermeable a 3 ATM. Movimiento analógico de cuarzo japonés. Brazalete: 23mm x 18mm x 74mm / 23mm x 18mm x 105mm. Cierre malla milanesa con cierre de seguridad.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000143600","1","152","169","https://cloud-media.tous.com/medias/sys_master/images/h57/heb/14448946216990/1200Wx1200H_product_3000143600_2-20250520180214/1200Wx1200H-product-3000143600-2-20250520180214.jpg"
"rel004","Reloj analógico con brazalete de acero D-Bear Party","<p>Reloj analógico TOUS D-Bear Party con brazalete de acero inoxidable y caja transparente. Dimensiones: 36 mm x 48 mm. Esfera de metal con oso facetado acrílico asemejando una gema. Cristal mineral plano octogonal. Funciones: hora y minutos. Impermeable a 3 ATM. Movimiento analógico de cuarzo japonés. Brazalete: 23mm x 18mm x 74mm / 23mm x 18mm x 105mm. Cierre malla milanesa con cierre de seguridad.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000143700","1","143","159","https://cloud-media.tous.com/medias/sys_master/images/hee/h2b/14488085495838/1200Wx1200H_product_3000143700-20250603110133/1200Wx1200H-product-3000143700-20250603110133.jpg"
"rel004","Reloj analógico con brazalete de acero D-Bear Party","<p>Reloj analógico TOUS D-Bear Party con brazalete de acero inoxidable y caja transparente. Dimensiones: 36 mm x 48 mm. Esfera de metal con oso facetado acrílico asemejando una gema. Cristal mineral plano octogonal. Funciones: hora y minutos. Impermeable a 3 ATM. Movimiento analógico de cuarzo japonés. Brazalete: 23mm x 18mm x 74mm / 23mm x 18mm x 105mm. Cierre malla milanesa con cierre de seguridad.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000143700","1","143","159","https://cloud-media.tous.com/medias/sys_master/images/hc8/h09/14448948641822/1200Wx1200H_product_3000143700_2-20250520180214/1200Wx1200H-product-3000143700-2-20250520180214.jpg"
"rel005","Reloj digital con brazalete de acero SS y acero IPG dorado D-BEAR","<p>Reloj digital D-BEAR con brazalete y caja de acero inoxidable y acero en color IPG dorado. Diámetro caja: 36,5 x 44,8 mm. Esfera: metálica / Pantalla cristal líquido (LCD) con luz. Funciones: hora en 12 o 24 horas, minutos, segundos, día, mes y día de la semana, cronógrafo 1/100 segundos y alarma. Impermeable a 3 ATM. Batería: 3V litio CR2025 / 2,5 gramos (litio 0,003 gramos). Cristal: plano cuadrado con forma de oso en el interior. Cierre desplegable con pulsadores.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000134600","1","152","169","https://cloud-media.tous.com/medias/sys_master/images/hb5/h78/13024339099678/1200Wx1200H_product_3000134600-20240103100204/1200Wx1200H-product-3000134600-20240103100204.jpg"
"rel005","Reloj digital con brazalete de acero SS y acero IPG dorado D-BEAR","<p>Reloj digital D-BEAR con brazalete y caja de acero inoxidable y acero en color IPG dorado. Diámetro caja: 36,5 x 44,8 mm. Esfera: metálica / Pantalla cristal líquido (LCD) con luz. Funciones: hora en 12 o 24 horas, minutos, segundos, día, mes y día de la semana, cronógrafo 1/100 segundos y alarma. Impermeable a 3 ATM. Batería: 3V litio CR2025 / 2,5 gramos (litio 0,003 gramos). Cristal: plano cuadrado con forma de oso en el interior. Cierre desplegable con pulsadores.</p>","TOUS","TOUS","relojes, mujer","TRUE","Title","Default Title","3000134600","1","152","169","https://cloud-media.tous.com/medias/sys_master/images/h8b/he3/13072209149982/1200Wx1200H_product_3000134600_2-20240118180144/1200Wx1200H-product-3000134600-2-20240118180144.jpg"
